signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x100400C7AC0421,851,1214,45,0x200400c7ac0418 => 0x1001c885b20104,23,0x10104085ae040c,36,0x1011c085a24808 => 0x1001c885b20104,18,0x100400c7ac0421
0x108400842DB631,850,1436,38,0x3080d045d8823 => 0x2113010441fc22,20,0x27000842db431,27,0x30003045df822 => 0x1113808451f022,15,0x23000843df421
0x1800004018631,848,1556,30,0x6200004018223 => 0xc200004018c30,15,0xc70000401c020,21,0x21840004018230 => 0x11880004018230,11,0x18c0004018421
0x470800000043D,848,1208,47,0x460800000462d => 0x1888000004bc1,26,0x1184000010043d,35,0x4200a00040b46 => 0x1182080004003d,20,0xe20000010043d
0x108401FC203C21,848,1168,42,0x311001fc406422 => 0x311001fc406442,29,0x1080ffc40021c,27,0xc4401fc203841 => 0x223001fc203821,19,0x87001fc203421
0x2018010004087F,848,1136,67,0xa050000001fe2 => 0xa090000004fe1,36,0x20088300000bda,53,0xa050000001fe2 => 0xa090000004fe1,29,0x104600800005bd
0x108000B4000C23,842,1556,52,0x40a02b4101100 => 0x8202b4101030,27,0x10c00b4000390,32,0x4000ab4005820 => 0x40202b4100103,17,0x310800b4000218
0x100400846D8421,842,1420,32,0x10198084618820 => 0x20470104618420,17,0x80004840db620,25,0x448104798820 => 0x10098084618221,13,0x180004841da420
0x108440842E3421,840,1404,40,0x20874704260808 => 0x1089cc84421102,20,0x1087ce84220020,26,0x20874704260808 => 0x1089cc84421102,14,0x1087ce84220020
0x21000B5A00421,836,1565,30,0x21800b5a04008 => 0x201000b5a000c4,17,0x21208b5a00008,18,0x221000b5a000c0 => 0x20c00b5b00008,11,0xa1000b5a00420
0x30000084018423,836,1516,65,0x2180004098230 => 0x2100884018230,33,0x438004158020,39,0x2100884018230 => 0x2180004098230,20,0x30400104018c20
0x180200C01,832,1864,16,0x400380401000 => 0xd0000082004,10,0x300005c0000,13,0x980204004 => 0x380401010,8,0x400180200c00
0x4180600631,832,1456,26,0x100441806000c4 => 0x144000c3230,16,0x18e000a6020,18,0x84104000e3020 => 0x10044180600230,11,0x7c0006c0020
0x10079680200C21,828,1424,33,0x4091003c3831 => 0x1051808020bc41,18,0x10079680200390,25,0x2053810024b041 => 0x4091003c3831,14,0x20100100d868c6
0x108030840005A3,826,1224,27,0x8431040005a3 => 0x3088300408002d,16,0x8d3004000bc0,19,0x8c03084000b44 => 0x8033040015a2,11,0x8132040055a0
0x800084218420,824,1888,15,0x1020404098020 => 0x210004218022,9,0x800804298020,12,0x1010404019020 => 0x1010404058020,7,0x20000409e020
0x800180600421,824,1740,16,0xc30000680020 => 0x890000680044,11,0x810c000c2040,11,0x10800580002420 => 0x8800580002220,8,0x21080180600040
0x100401803C7C01,824,1184,35,0x30478180407002 => 0x80f805c0c11,19,0x30078180207801,30,0x301b8d80400204 => 0x81001805c6c06,17,0x30078180207401
0x108580842E3421,820,1408,29,0x20870f043a0808 => 0x8841843c3c41,16,0x106180862c3421,24,0x20870f043a0808 => 0x3023c184207021,14,0x108580c42c3421
0x470800280043D,816,1156,45,0x2188025000083d => 0x6200840840b46,25,0x21880050001bc2,35,0x422d20000422d => 0x472001200185a,19,0x186800280043d
0x100580802C043D,812,1140,47,0x3805c0c3d => 0x9803c0c5e,24,0x30038580000bc2,41,0x2203010058085e => 0x180180802c043d,21,0x3003858000043d
0x10139E8080003D,812,1136,29,0x220b911020045e => 0x20131b00842b44,19,0x20109300d8085e,24,0x220b911020045e => 0x22039b10002b44,18,0x101396808007a1
