signature (qtm),vertices,edges (qtm),diameter (qtm),example antipodes (qtm),radius (qtm),example center (qtm),diameter (htm),example antipodes (htm),radius (htm),example center (htm)
0x21089100000863,8476,13928,69,0xa310000148118 => 0x310410000c1062,36,0x878000800463,55,0x310418000c1060 => 0x2210a10101118,29,0xc009300000398
0x3DA00000C60,8372,14060,83,0x469002080063 => 0x20c4110004461,43,0x10440082800463,65,0x8530004031c => 0x451002140063,34,0x220000029c0063
0x3760010002D,8332,11784,43,0x6d0000cb41 => 0x172005015a0,29,0x172000037a0,32,0x210650080082d => 0x2112040842b40,21,0x30007480000bc0
0x20080380401802,8312,14768,40,0xa000d80004801 => 0x10080380003280,21,0x30040980200801,30,0xa000d80004801 => 0x130c000c0003,17,0xb80004c1002
0x800084238C21,8312,14160,34,0x40c010605a020 => 0x21084421c420,22,0x3084000609a020,27,0x310010605a020 => 0x30200044499020,16,0xc080062d8020
0x39A00000060,8250,15078,41,0x18080100840060 => 0x22040080900060,23,0x20009900000061,30,0x2400110001062 => 0x10080080900118,17,0x39000000461
0x10019080200421,8224,15260,30,0x200010802c0444 => 0x210800c2444,16,0x20038500800042,20,0x10401100580820 => 0x10019080300044,12,0x20000500980844
0x20080180400806,8192,14544,38,0x8050800083010 => 0x20900000c6004,21,0x10080380400402,31,0x110c00081082 => 0x8100180006804,18,0x900001c7000
0x1003DA80000403,8188,11768,67,0x100a50801c1410 => 0x10438280128402,40,0x2003db00000c01,55,0x220401009a0886 => 0x300851001c1810,31,0x201049009c4804
0x10038E80000401,8128,12656,31,0x20438100200602 => 0x10138080400881,18,0x10038e80000402,23,0x20500500181880 => 0x18118880102400,14,0x1801005c0806
0x30000080800423,8082,14388,81,0x410000008c43 => 0x30000910000c08,50,0x21001008008c4,47,0x120080108043 => 0x30401200081020,30,0x19000000c23
0x10008280003D,7984,14234,27,0x1000510000402d => 0x1100500000da,17,0x190020005a1,21,0x84100008b41 => 0x1008001208005a,13,0x10c10080002d
0x1003DE80000403,7920,11400,80,0x20084310581890 => 0x20138900268801,52,0x181000805e8403,64,0x300450803c4404 => 0x22530100468802,40,0x100fd080400406
0x10040180200401,7888,15316,34,0x8100180204080 => 0x8050000082090,17,0x10080180400402,27,0x8110400080082 => 0x8100180204080,15,0x20000380006400
0x10840085BE0421,7828,11380,36,0x8880107bc0822 => 0x18880107bc0820,21,0x10840885ae0421,26,0x18300107bc0808 => 0x8880107bc0822,16,0x10800085be4421
0x1003FE80000421,7798,11744,34,0x1011e48010d440 => 0x100274800c5608,21,0x1041b68200041c,26,0x2050a502980888 => 0x105224828c0608,16,0x2003ff00000031
0x10800080000C23,7740,14360,80,0x310008000408c => 0x61008800000c4,46,0x10c01000000c6,50,0x8600300000230 => 0x30200100001310,28,0x31000100000c41
0x20088000000C06,7728,12384,27,0x8080200000c11 => 0x20048800041010,18,0xa8200001802,23,0x30100800041010 => 0x22080200001600,14,0x30500000000411
0x3F6000007A1,7720,11184,33,0x5124500018da => 0x51245000462d,20,0x13ec00800b42,23,0xa0122121025b0 => 0x42b4020810da,15,0x3fe00000b41
0x100400B4000631,7696,11788,51,0x101200b400088c => 0x220002b4000c44,29,0x180000b4000631,39,0x101200b40000c3 => 0x220002b4000186,21,0x300800b4000621
0x10039E80000403,7660,10744,101,0x8081300580894 => 0x22530100409202,51,0x220801005c8803,83,0x22180110384801 => 0x20070910200611,42,0x200f9100400814
0x100600B4300401,7637,12044,44,0x184004b4004404 => 0x200002b4400c11,27,0x20c00b4200282,37,0x104204b4100404 => 0x181008b4006400,21,0x100c00b4007400
0x580000C1C,7624,14554,33,0xd00002c4008 => 0x400780001440,19,0x30000580000380,25,0xd0000581008 => 0x400780001440,14,0x30000580000421
0x1003DA80000423,7586,10804,110,0x181188c08000c6 => 0x22430312000231,56,0x200c01029c081c,90,0x18459080125100 => 0x201bc100844104,47,0x200c01029c081c
0x39A00000C60,7560,12708,55,0x8098200008318 => 0x469000080063,30,0x53800080018c,39,0x61880100198 => 0x80d0010001462,23,0x20009300000863
0x2100080200461,7512,14444,32,0x8500480000061 => 0x2500500000062,18,0x10e00000063,24,0x2500000481060 => 0x30400300400108,15,0x40100240063
0x40180200421,7426,14792,31,0x2400180401100 => 0x8100180204100,17,0x10080180400440,24,0x2400180401100 => 0x203000048000c,14,0x78000280020
0x108400843F8423,7366,11756,73,0x60202844f9422 => 0x23000d041b8823,43,0x308401041fb820,55,0x30c400862d8620 => 0x208008c42dc621,32,0x308401043bc821
0x20008000000806,7344,16752,14,0x20048000000006 => 0x10100000004801,10,0x2080000104080,12,0x20040000001410 => 0x20a0000000801,9,0x10440000041000
0x10000080200461,7308,14664,29,0x20100880200108 => 0x10400300400108,17,0x190000400308,22,0x20a0080200108 => 0x8008500001108,13,0x90000400388
0x10800080200C2D,7292,12552,33,0x3010000200c5a => 0xc005000005a3,20,0x8d000040005e,25,0x8810000400c2d => 0x3010000200bc4,15,0x10c008040003d
0x80200421,7224,18148,17,0x400200480020 => 0x400400080208,11,0x10000080400044,13,0x100200106 => 0x80400111,9,0x10000480000044
0x10040080000463,7176,13256,35,0x22500000080062 => 0x18500000080061,20,0x1000088000038c,26,0xa440000080062 => 0x18500000080061,16,0x138000000318
0x139200800C1C,7070,10044,94,0x30181200980031 => 0x101a1280800303,47,0x139200800c1c,75,0x305012009c4020 => 0x30181200980031,38,0x139200800c1c
0x83FE04000421,7028,10736,34,0xc33404065820 => 0x20887084300446,20,0x83fe04000031,26,0x8bf0042048c0 => 0x20807684100446,15,0xc7b006200421
0x30800080200423,7024,13344,66,0x8c0000058008c => 0x830200501180,38,0x30800900200c08,40,0x830200501180 => 0x60e0000182020,24,0x820e80005100
0x108400803C3421,6976,11360,35,0x18898080207041 => 0x11180d005c0820,20,0x10840f003c0840,26,0x230b0d00401022 => 0x20c48700380840,15,0x108b8080406842
0x10843086200C2D,6956,9496,83,0x8336040215a2 => 0x81bc0406082d,45,0x30807e840005a0,63,0x823c84020c2d => 0x8338042205a3,34,0x80fe040c002d
0x10039A80000401,6942,11004,30,0x80018801c1402 => 0x100b828000c200,17,0x200801001c9802,22,0x200408800c8411 => 0x80410801c1402,14,0x20538100800006
0x10840086200C61,6908,11724,52,0x8810444005c60 => 0x8c8106200461,29,0x87c004200063,39,0x8d0006300461 => 0x8810444005c60,22,0x108400062c0063
0x128000000806,6904,12936,17,0x2400200004404 => 0x18080000001410,12,0x2080000145000,14,0x8108000100011 => 0x22400200004004,10,0x28a00000802
0x108400802005BD,6884,10696,43,0x408810020087f => 0x406008040047f,25,0xe00010020087f,33,0x1010c0004087f => 0x2080860008007f,20,0x3000003c007f
0x100C0084018421,6834,11524,39,0x1a0084018c20 => 0x200088040d8030,22,0x300000040dd020,28,0x198004058820 => 0x30000884118030,16,0x20400104018c21
0x2100084218421,6784,12328,32,0x120084418c20 => 0x200084040d8030,18,0x3000008411e020,22,0xd000421c220 => 0x2000904218023,13,0x200c0104218021
0x21080118C00C42,6772,11624,58,0x18700118802104 => 0x110212081ca040,33,0x20601208489042,42,0x30201308448018 => 0x110c110820c041,24,0x21001308409842
0x10040084118421,6758,11484,33,0xa020409c220 => 0x22040884018022,17,0x1004008401c421,23,0x22040884018022 => 0xa020409c220,13,0x1000008411d420
0x10038E80000403,6720,9408,63,0x200b8100046204 => 0x10418280400283,34,0x10000e801c0403,48,0x18098280400884 => 0x10078080103090,28,0x10078880200403
0x20080180C00846,6678,11212,62,0x798000820c0 => 0x200811802048c0,32,0x20081380400304,45,0x458000d80018 => 0x200811802048c0,23,0x2090000d80046
0x39E00000460,6660,11376,56,0xa090000c00861 => 0x20500510000462,29,0x10401680000461,44,0x8050810003460 => 0x8041880300188,23,0x39600000461
0x100400B4200601,6652,11492,27,0x80002b4400811 => 0x600b4400811,16,0x20400b4200411,21,0x24400b4401200 => 0x224000b4500001,12,0x100000b4007600
0x38A00000C60,6642,11336,48,0x3040030000030c => 0x22100900000462,27,0x538000000c60,36,0x22100900000462 => 0x3040030000030c,20,0x10440100000863
0x100400B4200C01,6624,11160,39,0x301000b4204800 => 0x200008b4200c04,21,0x100c00b4200600,28,0x21800b4204800 => 0x200008b4200610,15,0x180006b4001400
0x7180062C001C,6588,10768,74,0x108c4184200446 => 0x60c0186200622,44,0x30804f84000821,58,0x18700184220822 => 0x23100186200306,34,0x30844984200830
0x80800421,6480,15888,16,0x10010004044 => 0x2020080008008,11,0x100100840008,13,0x80100008101 => 0x10010001030,9,0x80800046
0x10800084018423,6441,11373,37,0xc10004018c22 => 0x1120084018c20,19,0x8002040d9030,24,0xc10004018c22 => 0x1118004058820,13,0x10800a84019020
0x10019080200C21,6404,10664,36,0x8000c808c4420 => 0x80c00804c8408,21,0x10039080200043,29,0x8000c808c4420 => 0x80c00804c8408,15,0x20039100400c20
0x108400843D8421,6381,10404,32,0x11078084218830 => 0x11138084218822,18,0x108600842d8421,23,0x11138084218822 => 0x21070104258830,14,0x108200840db620
0x10000084218421,6296,12712,22,0x48104418420 => 0x10000304418021,14,0x20000041da020,17,0x8100104418021 => 0x2400104418420,11,0x10000e84018020
0x210008280003D,6184,9696,36,0xd10004402d => 0x2508010105a,22,0x841120200002d,29,0xc10c0001b40 => 0xc41100045a0,17,0x3c00084005a
0x108400842D8421,6146,10815,30,0x11138084218820 => 0x80890419a830,17,0xe0000842d8421,22,0x11138084218820 => 0x11038084218830,13,0xe0006840d8420
0x1083808020043D,6144,9160,34,0x208006800c045e => 0x10638080400b41,20,0x210b810020082d,27,0x106380804000da => 0x208006800c045e,15,0x110800803c042d
0x10000080800463,6138,11372,33,0x100e0000880060 => 0xc1080000198,20,0x3800080018c,23,0x2000900800063 => 0x8401100001188,15,0x80000980063
0x10040010800421,6135,11896,32,0x420010800444 => 0x8041000009110,18,0x8080010800046,25,0x20040010804220 => 0x10080010900030,13,0x20080010800380
0x80400F42007A1,6092,10000,30,0x80006b6000b46 => 0x20440b440083d,17,0x400b41275a0,22,0xa0004b6000b46 => 0x100240b44008da,13,0x80400f42007a1
0x10039A80000403,6062,8656,65,0x30441100180806 => 0x20138900048801,36,0x200b9100000283,54,0x101b8080108011 => 0x30441100180806,29,0x20001b001c4804
0x80200C21,6056,12952,18,0x408100440020 => 0x2500400080040,13,0x8000080400c40,14,0x420080500008 => 0x4004000800c4,10,0x30000100200840
0x100400802C0401,6056,12040,20,0x22430100002004 => 0x24000804c0404,13,0x8000e800c0400,17,0x8100100380810 => 0x18118080002010,10,0xf00180802
0x20080100040862,6012,10488,43,0x8080280000198 => 0x204090000030c,24,0x38a00000188,34,0x20000b00040308 => 0x10000a80100188,19,0x20088300000188
0x83FA04000421,6010,9304,34,0x208870840048c1 => 0x8813804161022,19,0x10843086100431,25,0x2088f204080046 => 0xc53004064821,15,0x881b244004620
0x1084008431C421,6006,9152,33,0x23040884218822 => 0x8a820409e220,19,0xe0000041df020,26,0x11a008401f820 => 0x230408040db020,14,0x1030008401f620
0x840184238C21,5992,10128,48,0x11100184238023 => 0x81420419b030,24,0x400018403fc20,36,0x18200184238023 => 0x810a4409b030,18,0x8180040ff020
0x100000B4200421,5976,11797,27,0x100800b4200110 => 0x24000b4401020,15,0x400b4200380,20,0x24000b4401020 => 0x81000b4204040,11,0x100400b4200300
0x10039E80000423,5958,8484,81,0x201b8100408c41 => 0x20039d00041830,45,0x10079080300431,65,0x10538480900441 => 0x304011005c1818,34,0x80c01001cf840
0x39A00000460,5872,10132,48,0xa090000800861 => 0x2440100840118,26,0x439200000118,39,0x8050010001462 => 0x8041880100188,21,0x20500110000198
0x807004000631,5800,9716,29,0x807204101102 => 0x30803006100022,18,0x827804000310,22,0x8c03044000222 => 0x8c3004124100,13,0x8803244001220
0x1800080200421,5780,11960,28,0x42000004800c1 => 0x4200000280222,16,0x1800e80000100,20,0x4200080401808 => 0x4220000284008,12,0x1840100200021
0x108000842F8421,5764,10260,31,0x11118084238820 => 0x80c10419a830,18,0x88008842f8420,21,0x10c18484038820 => 0x2023410401b420,12,0x210800844f8420
0x80800423,5730,11880,20,0xc8000088008 => 0x8408000088040,13,0x810084000c,16,0x10000210081040 => 0x2020080108008,10,0x20000110000310
0x10058080200C01,5728,9760,25,0x200f0100002404 => 0x4202804c1400,16,0x10000a800c3400,20,0x20030300401410 => 0x20030900244004,12,0x200b8100200003
0x10040084018421,5672,10804,31,0x22000884019020 => 0xa0004098221,16,0xa040084018021,21,0xa0004098221 => 0x22000884019020,12,0x41dd020
0x7000838C043D,5648,8152,33,0x2113011300062d => 0x11038083800bc1,20,0x1085808380043d,25,0x2113011300045e => 0x10c180c1800bc1,16,0x6000839c043d
0x108400843E3421,5644,9112,30,0x2030c104383821 => 0x60842844c6422,18,0x10c000843e3421,22,0x20884c845c0444 => 0x1087868422080c,14,0x1087ce84200180
0x1F600000060,5616,9828,42,0x412050204108 => 0x112050401108,22,0x17400000461,29,0x10026000c80060 => 0x432010220108,15,0x17400000862
0x10840085BC0421,5600,8292,33,0x208b8105a00222 => 0x8880105bc0822,18,0x10840085bc0421,25,0x8880105bc080c => 0xc180105bc0820,15,0x10878085a00181
0xB4127000,5596,10600,26,0x81800b6002000 => 0x40b4400811,15,0x80000f4401002,18,0x40b4400811 => 0x180800b6002000,12,0xb4126400
0x108400842D8423,5534,9276,43,0x21130104218c30 => 0x10c18084218c22,25,0x23000842dc421,33,0x2103090425c820 => 0x21130104218c30,19,0xe0008840de420
0x100400B4200401,5522,10453,26,0x204400b4500000 => 0x200b4400811,13,0x80400b4200201,19,0x100800b4300010 => 0x200b4400890,11,0x5000b4200014
0x5000828C043D,5516,8200,35,0x2007110006082d => 0x200b011200062d,19,0x1011c88080022d,26,0x2007110006082d => 0x100580c08008da,15,0x1041928200005e
0x87B0043D,5514,9506,28,0x104105a007a2 => 0x50045a008da,16,0x40005be002d,20,0x104105a0062d => 0x410045a008da,12,0x10040005ba002d
0x1800084220421,5506,10076,38,0x6600084420100 => 0x1820086002820,21,0x4600086200030,28,0x6600044480020 => 0xc300106002020,15,0x4200084324020
0x108400B42007B1,5502,8680,66,0x40a00b4200c5e => 0x10c004b40008de,37,0x210800b44007a3,53,0x44202b40027b0 => 0x18c000b4003bc0,29,0x18c006b40005a1
0x318007AC000C,5488,9536,56,0x4100187a000c3 => 0x30c0187a00104,34,0x30c40187a00008,39,0x18200187a00103 => 0x1078005ae0008,23,0x300187a00443
0x840184238421,5488,9440,42,0x89420409a220 => 0x3000984238022,25,0x874004298021,35,0x2080418401a430 => 0x11300042f8020,18,0x600184238421
0x1084008080047F,5484,8336,55,0x1081080004fe1 => 0x6100100047ad,30,0x1080100049b5a,40,0x10409100007ad => 0x8200880800bda,23,0x10c4008080007f
0x39200000060,5448,10620,31,0x10080110001108 => 0x20040100840108,18,0x19200000308,24,0x10080110001108 => 0x20040100840108,14,0x10000049308
0x10840085AC0421,5440,8396,33,0x3040085bc0440 => 0x20838105a00222,20,0x10200085ac0431,24,0x20838105a00222 => 0x3040085bc0440,15,0x600085bc040c
0x10040000000C01,5400,12288,14,0x80c8000000010 => 0x20000040203,10,0x408200000210,13,0x8100800004080 => 0x2120000044000,9,0x420000140010
0x108400806C0421,5396,8848,43,0x888010078080c => 0x30400806c0418,24,0xc1000806c0422,33,0x222000806c0418 => 0x10618080600111,18,0x10818480007420
0x10040085BE0421,5388,7960,32,0x18080107bc0820 => 0x20438107a00222,18,0x1013c885a0000c,24,0x204400c5ac0430 => 0x204400c5ac0418,14,0x10518087a00421
0x108400802C0461,5342,9380,42,0x11118080003860 => 0x20c30100006460,23,0x1085888020010c,32,0x10c58080102060 => 0x11a00800c2460,18,0x210b0100400388
0x108400F4200461,5330,8748,52,0x44200b6200462 => 0x8802f4400198,26,0xe0000f4200461,42,0x44200b6200462 => 0x8802f4400198,21,0xe0000f4200461
0x50008280047F,5326,7968,61,0x85080004fe1 => 0x45100001fe2,34,0x50008280047f,47,0x85100040b5e => 0x80410821005ad,24,0x518002800b5a
0x100C008000042D,5318,9044,29,0x30100080001b40 => 0x304001000045a0,17,0xd800000003d,21,0x207000010002d => 0x30100080001b40,13,0x30000100001bc0
0x1004008000042D,5310,10590,22,0x20100000015b0 => 0x240008000105a,13,0x9800000085a,17,0x802800005b0 => 0x240008000105a,10,0x2010010000003d
0x51DA0280040C,5292,8592,32,0x2459050124208 => 0x209021206c098,17,0x505b0280081c,24,0x2479012024018 => 0x805000292d01c,14,0x539202824018
0x21080188C00846,5252,8724,60,0x30104081cc041 => 0x10798080820c0,31,0x1099208580042,43,0x22600188c00221 => 0x8840188c008c1,22,0x21080388408842
0x1007908020042D,5152,7624,33,0x2043011040062d => 0x1041848010845a,19,0x22030310400bc0,26,0x1041848010845a => 0x2043011040045e,14,0x200397000005a1
0x108000F6200421,5096,8928,54,0x22048b4122100 => 0x40244b4024088,28,0x60048b4220420,35,0x40244b4024088 => 0x22048b4122100,20,0x8400f6200031
0x108400841F8423,5096,8180,61,0x11058884038c22 => 0x22008c40d8631,36,0xc0400c40d8623,48,0x1023888403d820 => 0x208c8106198821,26,0x61000841fd420
0x3FE00000460,5048,8760,56,0x180430c0400198 => 0x2208611020030c,29,0x20b6010400862,46,0x8052050401462 => 0x2012650004861,24,0x10403682000862
0x800084220420,5024,10568,18,0x40200042a0008 => 0x200884022100,12,0x2000c4204020,15,0x8210006002020 => 0x40200042a0008,9,0x800084320020
0x10800085AE0421,5024,7844,29,0x3040087ac0440 => 0x10880107b80820,19,0x10818087b00408,21,0x10818087b00022 => 0x18818087b00100,14,0x10c18087a00018
0x10040085AE0421,5020,7728,31,0x22040087ac0440 => 0x18080107b80820,17,0x1013c885a00020,22,0x22400087ac0440 => 0x18080107b80820,13,0x10418087a00430
0x10840185A00C21,4996,9208,54,0x30840985a00104 => 0x30200985a00288,32,0x338005ac0042,38,0x23100185a00222 => 0x30200985a00114,23,0x1180185a00c42
0x82FA04000421,4992,7872,28,0x8803804121422 => 0xc23004064821,18,0x18843044004380,23,0x10c63004020821 => 0x20807a04100444,14,0x108678040008c0
0x1084008411C421,4988,7720,33,0x8a820409c220 => 0x23040884018822,18,0x10c400041d8021,25,0x8a008401c621 => 0x848904018431,14,0x18840884018421
0x1004008431C421,4984,7568,33,0x20008a0419a030 => 0x101a0084218822,19,0x105000041db020,25,0x20008804398031 => 0x1b000405b820,13,0x1010008401f620
0x108400802005AD,4938,8288,38,0x1100050004007f => 0x2080048010007f,21,0x700080400b5a,28,0x101040004087f => 0x81040010047f,15,0x10840080400fe0
0x108400F6200421,4931,8654,54,0x40246b4024088 => 0x22048b4123100,27,0x108440b4220421,38,0x40246b4024088 => 0x22048b4123020,19,0x108440b4220421
0x108400843E042D,4894,7048,33,0x11078086200b41 => 0x208040843c045e,19,0x188180c42007a1,24,0x103180c42008da => 0x208040843c045e,16,0x1081ce8400042d
0x20087B0043D,4874,7952,44,0x18045a008de => 0x80c0107a4005a,23,0x20000087a00c3d,30,0x4905a007a3 => 0x20c00c5a045a0,16,0x100087a0063d
0x108400803C7421,4844,7304,36,0x20880e805c0444 => 0x20c38100207441,21,0x21080f005c0822,27,0x11078080407222 => 0x18898280406442,15,0x210b8100207421
0x28A0010002D,4780,7680,29,0x82001015a2 => 0x820004482d,19,0xc000004085e,22,0x28000044b44 => 0x84080001015a0,15,0x100c0000000b46
0x108400842205AD,4762,7656,56,0x10884104200fe0 => 0x844104401fe0,30,0x108400842205ad,35,0x84c00448007f => 0x10804504004fe0,20,0x1084008620007f
0x1086008431C421,4736,6832,84,0x60c0104258831 => 0x20808f04058031,53,0x10c4010401fc20,65,0x871800431c420 => 0x838604018623,40,0xe04010401fc20
0x800084218421,4732,9750,20,0x18200104218020 => 0x1010804218022,12,0x820884218020,15,0x22200084418020 => 0x880050401c020,10,0x80000409f020
0x823804000611,4721,7440,37,0x8803a04041002 => 0x30883004040011,24,0x884b804000084,26,0x2084b804004080 => 0xc2b004044800,18,0x8eb004000280
0x21000102000C43,4648,7840,100,0x8c4080100103 => 0x23100021000c4,63,0x20c900040310,59,0x8c4080100103 => 0x40e0080020023,37,0xa710040000220
0x108400B4200C61,4640,7472,46,0x65200b4200308 => 0x2208b4300198,24,0xe0400b4200c60,36,0x65200b4204108 => 0x2208b4300198,19,0x60400b420019c
0xC1C,4592,10868,14,0x20000104044 => 0x200005808,10,0x30000a00000100,12,0x2400000000103 => 0x18000200001040,8,0x30000a00000100
0x1000118C00C42,4576,7704,44,0x1031408108408 => 0x1011c0800c101,28,0x20200118c000c4,29,0x2310018c00440 => 0x1001708009408,20,0x1009308409040
0x10843084200C2D,4572,6336,53,0x18803c0408402d => 0x8c3104204bc0,30,0x8c0308420043d,40,0xc730041025a0 => 0x2080b0044c005e,23,0x81b604000c2d
0x800184220C21,4568,8072,42,0x88c0184220008 => 0x204184200223,23,0x8184440c0021,31,0x204184200223 => 0x88c0184220008,17,0x8184440c0021
0x20080380001802,4564,8156,38,0x902000c0203 => 0x2000b80001402,20,0x30080180005400,29,0xf00000c4004 => 0x8080380005800,15,0x500180000c14
0x100580803C0421,4562,7060,43,0x201005801c0c22 => 0x104005801c0c41,23,0x30078180200421,32,0x201b0100580888 => 0x104005801c0c41,18,0x300b8180007020
